"No","품목일련번호 [PTNT_PRDLST_CRTR_CD] ","제품명 [PRDLST_NM] ","주성분명 [DRUG_CPNT_KOR_NM] ","주성분명(영문) [DRUG_CPNT_ENG_NM] ","특허권등재자 [BSSH_NM] ","등재특허권자 [PTHD_NM] ","등재일자 [PTNT_REG_DT] ","특허번호 [PTNT_NO] ","rownum"
"1","199300319","큐록신정100밀리그램(발로플록사신)","발로플록사신","Balofloxacin","제이더블유중외제약(주)","제이더블유중외제약 주식회사","1994-06-24 00:00:00","10-0074758-0000","1"
"2","199300319","큐록신정100밀리그램(발로플록사신)","발로플록사신","Balofloxacin","제이더블유중외제약(주)","제이더블유중외제약 주식회사","1999-08-11 00:00:00","10-0228572-0000","2"
"3","199300329","뉴트로진주50마이크로그램(레노그라스팀)(유전자재조합)","레노그라스팀","Lenograstim","제이더블유중외제약(주)","쥬가이 세이야쿠 가부시키가이샤","2007-06-18 00:00:00","10-0731559-0000","3"
"4","199300330","뉴트로진주100마이크로그램(레노그라스팀)(유전자재조합)","레노그라스팀","Lenograstim","제이더블유중외제약(주)","쥬가이 세이야쿠 가부시키가이샤","2007-06-18 00:00:00","10-0731559-0000","4"
"5","199300331","뉴트로진주250마이크로그램(레노그라스팀)(유전자재조합)","레노그라스팀","Lenograstim","제이더블유중외제약(주)","쥬가이 세이야쿠 가부시키가이샤","2007-06-18 00:00:00","10-0731559-0000","5"
"6","199300694","알비스정","라니티딘염산염","Ranitidine Hydrochloride","(주)대웅제약","주식회사 대웅제약","2004-10-06 00:00:00","10-0453179-0000","6"
"7","199300694","알비스정","비스무트시트르산염칼륨","Tripotassium Bismuth Dicitrate","(주)대웅제약","주식회사 대웅제약","2004-10-06 00:00:00","10-0453179-0000","7"
"8","199300694","알비스정","수크랄페이트수화물","Sucralfate Hydrate","(주)대웅제약","주식회사 대웅제약","2004-10-06 00:00:00","10-0453179-0000","8"
"9","199400114","딜라트렌정25mg(카르베딜롤)","카르베딜롤","Carvedilol","(주)종근당","로셰 쎄라퓨틱스 인코포레이티드/에프. 호프만-라 로슈 아게","2001-05-04 00:00:00","10-0295940-0000","9"
"10","199401576","트라스트패취(피록시캄)(수출명:미포톱)","피록시캄","Piroxicam","에스케이케미칼(주)","에스케이케미칼주식회사","1999-05-12 00:00:00","10-0212961-0000","10"
